CustomerID,Name,Gender,Age,City,State,RegistrationDate
1,Customer 1,Female,53,Ahmedabad,WB,2024-05-02
2,Customer 2,Female,42,Chennai,WB,2025-10-25
3,Customer 3,Female,44,Hyderabad,GJ,2024-07-06
4,Customer 4,Female,39,Mumbai,TS,2024-11-23
5,Customer 5,Male,52,Hyderabad,MH,2025-10-04
6,Customer 6,Male,34,Hyderabad,KA,2025-08-07
7,Customer 7,Female,39,Pune,KA,2024-12-09
8,Customer 8,Male,37,Delhi,GJ,2024-04-08
9,Customer 9,Female,55,Delhi,TS,2024-02-29
10,Customer 10,Female,63,Kolkata,KA,2025-11-17
11,Customer 11,Female,48,Delhi,TN,2025-07-19
12,Customer 12,Male,51,Ahmedabad,WB,2025-02-13
13,Customer 13,Male,42,Chennai,DL,2026-05-14
14,Customer 14,Male,58,Hyderabad,GJ,2025-06-07
15,Customer 15,Female,37,Bengaluru,TN,2024-05-30
16,Customer 16,Male,25,Kolkata,WB,2024-06-07
17,Customer 17,Female,50,Chennai,DL,2026-03-08
18,Customer 18,Female,25,Delhi,TS,2024-01-24
19,Customer 19,Female,23,Hyderabad,KA,2026-03-15
20,Customer 20,Female,64,Bengaluru,MH,2024-02-21
21,Customer 21,Female,26,Bengaluru,MH,2024-07-12
22,Customer 22,Female,20,Ahmedabad,MH,2024-09-13
23,Customer 23,Female,48,Mumbai,WB,2025-04-15
24,Customer 24,Female,31,Kolkata,KA,2024-11-16
25,Customer 25,Female,44,Hyderabad,MH,2026-02-20
26,Customer 26,Female,21,Bengaluru,KA,2025-06-02
27,Customer 27,Female,21,Kolkata,MH,2025-01-28
28,Customer 28,Female,49,Pune,TS,2026-01-25
29,Customer 29,Female,56,Pune,KA,2025-02-28
30,Customer 30,Male,61,Pune,MH,2026-01-14
31,Customer 31,Male,19,Delhi,MH,2025-03-22
32,Customer 32,Male,19,Bengaluru,TS,2024-01-16
33,Customer 33,Female,24,Chennai,WB,2025-12-10
34,Customer 34,Male,31,Bengaluru,TS,2025-08-07
35,Customer 35,Male,57,Delhi,TN,2026-03-19
36,Customer 36,Male,34,Pune,MH,2025-05-15
37,Customer 37,Female,22,Mumbai,TS,2024-05-03
38,Customer 38,Female,43,Mumbai,MH,2025-01-16
39,Customer 39,Female,25,Mumbai,KA,2024-04-28
40,Customer 40,Female,52,Bengaluru,DL,2024-11-22
41,Customer 41,Female,25,Mumbai,WB,2024-11-26
42,Customer 42,Male,61,Delhi,DL,2024-08-26
43,Customer 43,Female,48,Kolkata,DL,2024-05-09
44,Customer 44,Female,36,Bengaluru,TN,2026-03-03
45,Customer 45,Male,23,Delhi,KA,2024-07-27
46,Customer 46,Female,27,Ahmedabad,DL,2026-03-07
47,Customer 47,Male,65,Hyderabad,GJ,2025-11-27
48,Customer 48,Male,18,Delhi,MH,2024-09-01
49,Customer 49,Female,38,Pune,DL,2025-02-15
50,Customer 50,Female,53,Chennai,WB,2024-02-19
51,Customer 51,Male,40,Ahmedabad,MH,2026-02-20
52,Customer 52,Female,19,Ahmedabad,WB,2026-06-19
53,Customer 53,Male,18,Mumbai,GJ,2024-03-25
54,Customer 54,Male,41,Pune,WB,2025-02-10
55,Customer 55,Male,21,Hyderabad,TN,2024-02-21
56,Customer 56,Male,57,Ahmedabad,TS,2024-11-01
57,Customer 57,Male,60,Chennai,KA,2024-06-06
58,Customer 58,Female,47,Delhi,MH,2025-04-16
59,Customer 59,Female,32,Pune,WB,2024-10-18
60,Customer 60,Male,51,Ahmedabad,WB,2025-07-24
61,Customer 61,Male,26,Delhi,MH,2024-09-15
62,Customer 62,Male,46,Pune,MH,2024-06-02
63,Customer 63,Female,21,Mumbai,KA,2024-12-07
64,Customer 64,Female,46,Mumbai,TN,2026-05-17
65,Customer 65,Male,59,Kolkata,WB,2024-05-19
66,Customer 66,Male,27,Pune,KA,2025-03-28
67,Customer 67,Female,27,Mumbai,TN,2024-12-12
68,Customer 68,Male,24,Delhi,KA,2026-04-09
69,Customer 69,Female,34,Kolkata,WB,2025-07-06
70,Customer 70,Male,64,Ahmedabad,KA,2025-01-30
71,Customer 71,Female,30,Hyderabad,TN,2026-03-10
72,Customer 72,Female,18,Hyderabad,DL,2026-01-28
73,Customer 73,Female,36,Delhi,MH,2026-01-09
74,Customer 74,Female,65,Bengaluru,TS,2024-08-20
75,Customer 75,Female,41,Mumbai,DL,2024-03-13
76,Customer 76,Female,38,Mumbai,GJ,2024-05-12
77,Customer 77,Male,65,Pune,TN,2025-11-23
78,Customer 78,Female,48,Kolkata,MH,2024-06-04
79,Customer 79,Male,27,Kolkata,DL,2024-02-24
80,Customer 80,Female,31,Chennai,TS,2024-02-07
81,Customer 81,Male,62,Pune,DL,2024-10-31
82,Customer 82,Male,32,Ahmedabad,DL,2025-10-14
83,Customer 83,Female,29,Kolkata,DL,2024-09-09
84,Customer 84,Female,63,Hyderabad,DL,2024-07-19
85,Customer 85,Female,46,Hyderabad,WB,2025-01-16
86,Customer 86,Female,33,Bengaluru,TS,2025-01-24
87,Customer 87,Male,24,Delhi,KA,2025-09-06
88,Customer 88,Male,28,Mumbai,TN,2024-01-27
89,Customer 89,Female,35,Bengaluru,KA,2024-09-27
90,Customer 90,Male,57,Chennai,TS,2026-04-20
91,Customer 91,Female,65,Ahmedabad,KA,2024-07-15
92,Customer 92,Male,60,Mumbai,TS,2026-01-25
93,Customer 93,Female,46,Kolkata,TS,2024-07-27
94,Customer 94,Female,52,Ahmedabad,MH,2025-08-13
95,Customer 95,Male,33,Bengaluru,TS,2025-05-26
96,Customer 96,Female,64,Bengaluru,TN,2025-07-06
97,Customer 97,Male,64,Delhi,WB,2025-06-23
98,Customer 98,Female,33,Bengaluru,KA,2025-04-01
99,Customer 99,Male,19,Ahmedabad,TS,2025-03-28
100,Customer 100,Male,53,Kolkata,GJ,2024-02-18
101,Customer 101,Male,38,Bengaluru,WB,2024-01-07
102,Customer 102,Male,41,Ahmedabad,KA,2025-10-20
103,Customer 103,Female,53,Pune,DL,2025-02-04
104,Customer 104,Female,32,Bengaluru,GJ,2024-11-12
105,Customer 105,Male,28,Pune,WB,2024-06-24
106,Customer 106,Female,47,Delhi,WB,2025-12-02
107,Customer 107,Female,59,Kolkata,TN,2025-08-05
108,Customer 108,Female,43,Hyderabad,KA,2024-03-12
109,Customer 109,Male,25,Delhi,TN,2025-07-01
110,Customer 110,Female,56,Mumbai,TS,2024-07-09
